"names","node","preds_indRev","preds_outRev","preds_inRev","preds_subRev"
"tpvzd",396,NA,NA,NA,NA
"gliqy",397,447.76997962319,555.847903927845,600.885141325444,1352.29539295272
"gbonm",398,NA,NA,NA,NA
"dgnzk",399,468.099444534078,616.92464655736,683.951944922052,1476.63725472157
"rfilm",400,NA,NA,NA,NA
"drson",401,436.443055223094,570.259911129419,626.055227464939,1306.10391972589
"ajyht",402,NA,NA,NA,NA
"xjaxm",403,NA,NA,NA,NA
"gdqup",404,NA,NA,NA,NA
"dvnpt",405,NA,NA,NA,NA
"pstql",406,711.48743502009,1287.26862199023,1448.92847165315,18363.5669820756
"ctwqb",407,324.692560380705,572.456178080293,590.27830460559,2989.73260053342
"wpcah",408,NA,NA,NA,NA
"jdgjd",409,NA,NA,NA,NA
"lypjy",410,NA,NA,NA,NA
"dqyfa",411,NA,NA,NA,NA
"gbcaf",412,NA,NA,NA,NA
"twtdv",413,NA,NA,NA,NA
"vrdhc",414,NA,NA,NA,NA
"ndcah",415,NA,NA,NA,NA
"semcy",416,460.817572314907,668.416729431662,764.346351990673,1447.65518478142
"fzucl",417,NA,NA,NA,NA
"qthnv",418,NA,NA,NA,NA
"jwjyf",419,NA,NA,NA,NA
"bgcwa",420,NA,NA,NA,NA
"adfsf",421,NA,NA,NA,NA
"lecji",422,350.441438910595,312.413752920846,293.261600319614,818.181958934219
"hvdtn",423,384.383711503079,591.585591576897,669.313871641799,928.9895532819
"xaysd",424,NA,NA,NA,NA
"lzjuw",425,202.194535192949,153.648266740008,129.676029336354,315.366829854101
"fgshk",426,NA,NA,NA,NA
"noegh",427,913.633388671983,8782.00220762912,2932.87596772191,129986.951139314
"kyqbe",428,1639.05773251023,11248.9657788812,1961.02372349522,22617.0796337067
"dzcnn",429,1102.88182906498,2796.38830896632,2000.61562762571,13818.156435358
"oahsz",430,NA,NA,NA,NA
"ngmhj",431,2004.43417079117,9887.29085479888,1741.68038834913,12649.3401667718
"dumru",432,721.826301182978,6126.8029515944,2690.73664793774,103345.246394341
"wrque",433,NA,NA,NA,NA
"nyezi",434,1382.13839436528,6970.3407818472,1550.47262012548,11083.0490456021
"uyjbw",435,1307.44428978168,1130.91806167621,1045.90708753105,4450.59239454582
"ltkrh",436,2136.37236135561,12694.5081706734,2032.35998789244,17232.7250296285
"ntkaj",437,NA,NA,NA,NA
"tloyc",438,NA,NA,NA,NA
"juekf",439,940.240131601792,963.416802552409,1480.56609080913,7185.23075668577
"umqmi",440,572.979818401471,3356.16530513292,3315.77876117611,116138.349588295
"bhoql",441,NA,NA,NA,NA
"nbhlz",442,690.363452183525,3419.17341458555,1080.86456783145,5821.5209386859
"wzjis",443,NA,NA,NA,NA
"dfvia",444,NA,NA,NA,NA
"babej",445,1267.50526815083,4198.83852421038,2936.50897960238,12773.5451648345
"aynni",446,NA,NA,NA,NA
"zxbmv",447,NA,NA,NA,NA
"bmuwq",448,425.27122129915,1441.89561303727,419.035895938558,3649.8124647777
"qbwfd",449,NA,NA,NA,NA
"ileoc",450,NA,NA,NA,NA
"vyaok",451,444.051379971822,1108.11786098413,351.770136026381,2395.11052286019
"dmwri",452,NA,NA,NA,NA
"najkp",453,NA,NA,NA,NA
"tjnpb",454,446.830185403839,1041.84551057573,654.720204054015,3005.82545572921
"yuekm",455,NA,NA,NA,NA
"ntxnm",456,729.954287588307,2507.83912620071,512.530816146568,5682.94561354323
"nfqtk",457,NA,NA,NA,NA
"oremn",458,549.927262436611,2023.38056301654,441.554682503432,3785.18982165628
"mlnfy",459,2228.75056194276,3561.387380444,1554.00804789737,7413.40594670276
"vpzrs",460,659.518349610498,1866.70655553292,547.169543592364,2793.15483378963
"qfuij",461,NA,NA,NA,NA
"prywf",462,NA,NA,NA,NA
"ypwlt",463,NA,NA,NA,NA
"qhtka",464,NA,NA,NA,NA
"gabdl",465,NA,NA,NA,NA
"iwyrx",466,NA,NA,NA,NA
"nikhr",467,NA,NA,NA,NA
"vkwqc",468,713.391968020554,3694.43265928791,887.351393888507,5962.73633228856
"nwina",469,NA,NA,NA,NA
"kkifs",470,NA,NA,NA,NA
"cvpar",471,1355.40656282979,3715.15021761254,1664.04542839179,3965.11558115056
"epkjm",472,NA,NA,NA,NA
"euvdm",473,421.253454250948,818.191319670426,341.103749463324,3557.05805701284
"ejign",474,645.880732706666,1977.54277712729,710.533746733988,5570.61740262262
"jmjfu",475,471.027000813262,1518.89871694789,513.038163143977,2477.96498684652
"hcgiy",476,622.816783791146,994.892254089403,973.100355160552,5600.45328026981
"rrnoi",477,NA,NA,NA,NA
"deczp",478,NA,NA,NA,NA
"exbwo",479,1080.63348227399,2378.99095382075,2021.95911910319,9560.65014499107
"zyvnv",480,451.371241704021,1428.43621506335,317.560431900419,2145.70408686325
"hlhbr",481,NA,NA,NA,NA
"fdaab",482,NA,NA,NA,NA
"xdibz",483,569.343078266071,3439.94965679847,1181.67026396232,105540.516415289
"egurq",484,1834.23112173241,2472.07525149914,668.307036326946,4233.99850460328
"jfyqd",485,NA,NA,NA,NA
"nscsa",486,1130.83681144934,1002.09573573495,241.632777565457,2140.6812263341
"qrdvq",487,907.187198091054,5085.48296966532,1837.92352060277,16567.1434663599
"bmbqq",488,354.066447534049,862.440952441637,545.593359402265,3509.03728779061
"mqktd",489,482.440104538082,1048.62122707284,305.624432393821,1922.97554965525
"xqojs",490,NA,NA,NA,NA
"kklrk",491,353.205648024548,581.674210194008,476.440299223274,1444.76993281913
"rurbb",492,NA,NA,NA,NA
"wgjxj",493,433.527000318329,1402.21198031328,595.22638630886,4688.86404292988
"zcpxl",494,NA,NA,NA,NA
"mjncr",495,1217.74907156374,4830.09189791854,2094.56299036322,6551.61602898035
"pxwqr",496,NA,NA,NA,NA
"gloiv",497,NA,NA,NA,NA
"mkyer",498,NA,NA,NA,NA
"nsxuk",499,NA,NA,NA,NA
